<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,W,20180416,000000,72.2800000,74.7500000,70.8300000,74.0000000,852889
ICE.BRN,W,20180423,000000,74.0000000,75.4700000,73.1300000,73.7100000,690419
ICE.BRN,W,20180430,000000,73.7100000,75.6100000,72.3800000,75.0000000,982861
ICE.BRN,W,20180507,000000,75.0000000,78.0000000,73.1000000,77.0600000,949222
ICE.BRN,W,20180514,000000,77.0700000,80.5000000,76.5500000,78.9000000,885092
ICE.BRN,W,20180521,000000,78.8900000,80.4900000,75.7100000,76.0500000,791922
ICE.BRN,W,20180528,000000,76.0400000,79.1800000,74.5300000,76.5500000,830795
ICE.BRN,W,20180604,000000,76.4800000,77.6100000,73.8100000,76.3200000,868841
ICE.BRN,W,20180611,000000,76.3000000,77.0700000,73.0000000,73.0400000,739814
ICE.BRN,W,20180618,000000,73.0400000,75.8600000,72.4500000,74.1700000,924690
ICE.BRN,W,20180625,000000,74.2200000,79.5600000,73.7400000,78.6900000,888635
ICE.BRN,W,20180702,000000,78.6700000,78.9500000,76.3600000,77.2200000,710601
ICE.BRN,W,20180709,000000,77.1900000,79.5100000,72.6700000,75.1300000,996619
ICE.BRN,W,20180716,000000,75.1300000,75.3700000,71.1900000,73.1500000,839577
ICE.BRN,W,20180723,000000,73.1900000,75.3900000,72.5200000,74.8300000,570125
ICE.BRN,W,20180730,000000,74.8200000,75.7900000,71.8400000,73.2000000,732902
ICE.BRN,W,20180806,000000,73.2000000,74.9000000,71.4000000,73.0000000,702935
ICE.BRN,W,20180813,000000,73.0000000,73.9300000,70.3000000,71.7500000,697469
ICE.BRN,W,20180820,000000,71.7000000,76.4200000,71.4200000,75.9900000,656211
ICE.BRN,W,20180827,000000,75.9900000,78.3200000,75.7100000,77.7800000,512977
ICE.BRN,W,20180903,000000,77.7800000,79.7200000,75.6400000,77.2500000,735536
ICE.BRN,W,20180910,000000,77.2400000,80.1300000,76.9000000,77.9900000,847909
ICE.BRN,W,20180917,000000,77.9600000,80.1200000,77.4600000,79.7100000,768955
ICE.BRN,W,20180924,000000,79.7100000,83.4100000,79.6700000,82.9800000,788813
ICE.BRN,W,20181001,000000,82.9700000,86.7400000,82.5500000,83.4700000,1013410
ICE.BRN,W,20181008,000000,83.4900000,85.4500000,79.2300000,81.6700000,1098530
ICE.BRN,W,20181015,000000,81.6700000,81.8700000,78.6900000,79.6700000,922147
ICE.BRN,W,20181022,000000,79.6700000,80.4100000,75.1100000,77.7400000,846443
ICE.BRN,W,20181029,000000,77.7600000,78.0000000,72.1600000,72.6900000,964800
ICE.BRN,W,20181105,000000,72.6700000,74.1300000,69.1300000,71.0100000,939673
ICE.BRN,W,20181112,000000,71.0100000,71.8800000,64.6100000,67.3200000,1142661
ICE.BRN,W,20181119,000000,67.3100000,67.6400000,58.4100000,59.3900000,902612
ICE.BRN,W,20181126,000000,59.3900000,61.5100000,57.7800000,60.7900000,911970
ICE.BRN,W,20181203,000000,60.8400000,63.7300000,58.3600000,61.8000000,1203132
ICE.BRN,W,20181210,000000,61.7800000,62.3300000,59.3300000,60.3000000,772335
ICE.BRN,W,20181217,000000,60.3100000,61.2100000,52.7900000,53.6400000,924515
ICE.BRN,W,20181224,000000,53.6500000,55.5900000,50.2200000,53.3400000,479856
ICE.BRN,W,20181231,000000,53.3400000,58.3100000,52.5100000,57.7800000,636566
ICE.BRN,W,20190107,000000,57.7900000,62.4900000,57.1300000,60.7400000,939940
ICE.BRN,W,20190114,000000,60.7700000,63.0000000,58.9000000,62.3100000,839378
ICE.BRN,W,20190121,000000,62.2900000,63.1500000,60.2100000,61.1600000,683926
ICE.BRN,W,20190128,000000,61.1600000,62.9700000,59.4000000,62.7500000,808202
