"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2015","449.50","453.25","460.00","447.50","85.28K","-0.94%"
"Oct 14, 2015","453.75","453.75","458.00","450.50","68.82K","-0.49%"
"Oct 13, 2015","456.00","465.75","467.75","450.00","134.91K","-5.35%"
"Oct 12, 2015","481.75","482.25","486.25","482.25","10.29K","0.00%"
"Oct 09, 2015","481.75","487.75","494.75","478.75","45.94K","0.21%"
"Oct 08, 2015","480.75","481.00","487.75","474.25","40.93K","-0.72%"
"Oct 07, 2015","484.25","489.25","494.75","478.25","51.50K","-0.41%"
"Oct 06, 2015","486.25","470.00","490.25","466.00","52.22K","2.58%"
"Oct 05, 2015","474.00","461.50","474.75","459.25","39.29K","4.81%"
"Oct 02, 2015","452.25","462.00","467.00","451.25","50.30K","-2.90%"
"Oct 01, 2015","465.75","467.75","477.75","460.00","55.53K","0.38%"
"Sep 30, 2015","464.00","461.75","469.25","460.75","38.73K","-0.22%"
"Sep 29, 2015","465.00","456.00","467.75","455.25","37.73K","1.86%"
"Sep 28, 2015","456.50","466.25","466.25","455.00","44.15K","-2.25%"
"Sep 25, 2015","467.00","467.50","474.50","463.00","58.38K","0.38%"
"Sep 24, 2015","465.25","463.25","468.75","460.00","48.80K","-1.69%"
"Sep 23, 2015","473.25","468.25","482.50","461.75","51.80K","2.94%"
"Sep 22, 2015","459.75","463.50","471.50","456.50","59.05K","-0.97%"
"Sep 21, 2015","464.25","463.25","468.50","458.75","43.44K","0.22%"
"Sep 18, 2015","463.25","468.50","476.50","456.25","63.76K","-0.96%"
"Sep 17, 2015","467.75","477.00","478.25","464.50","62.14K","-1.94%"
"Sep 16, 2015","477.00","459.50","480.00","459.00","83.67K","4.38%"
"Sep 15, 2015","457.00","464.25","464.75","456.50","78.89K","-1.56%"
"Sep 14, 2015","464.25","472.25","475.50","460.25","62.33K","-1.80%"
"Sep 11, 2015","472.75","479.00","482.25","466.50","80.13K","0.05%"
"Sep 10, 2015","472.50","465.00","471.50","461.75","9.85K","0.00%"
"Sep 09, 2015","472.50","479.25","484.75","465.00","60.58K","-1.77%"
"Sep 08, 2015","481.00","472.50","484.25","469.25","45.49K","2.29%"
"Sep 07, 2015","470.25","479.75","480.50","468.00","26.34K","-3.04%"
"Sep 04, 2015","485.00","490.75","492.25","480.00","31.90K","-2.07%"
"Sep 03, 2015","495.25","486.25","502.00","481.00","47.31K","5.04%"
"Sep 02, 2015","471.50","469.50","490.00","466.00","50.01K","-2.13%"
"Sep 01, 2015","481.75","502.25","505.75","468.50","54.50K","-0.82%"
"Aug 31, 2015","485.75","477.50","513.75","466.75","49.61K","1.73%"
"Aug 28, 2015","477.50","459.75","488.00","451.50","44.95K","7.12%"
"Aug 27, 2015","445.75","427.75","460.00","427.50","56.33K","4.94%"
"Aug 26, 2015","424.75","426.50","428.75","420.50","46.15K","-1.28%"
"Aug 25, 2015","430.25","428.50","437.75","423.75","54.93K","0.41%"
"Aug 24, 2015","428.50","446.50","446.50","420.75","59.05K","-3.22%"
"Aug 21, 2015","442.75","453.50","454.75","441.50","48.72K","-3.91%"
"Aug 20, 2015","460.75","463.00","463.00","452.00","70.66K","-0.49%"
"Aug 19, 2015","463.00","470.50","476.25","457.75","73.86K","-1.70%"
"Aug 18, 2015","471.00","472.00","475.50","467.00","42.48K","-0.95%"
"Aug 17, 2015","475.50","472.50","478.50","467.75","51.17K","0.21%"
"Aug 14, 2015","474.50","475.75","479.00","471.00","56.69K","-0.26%"
"Aug 13, 2015","475.75","484.00","488.50","474.50","66.86K","1.33%"
"Aug 12, 2015","469.50","472.75","482.50","472.00","4.87K","0.00%"
"Aug 11, 2015","469.50","483.50","489.25","469.00","40.68K","-2.09%"
"Aug 10, 2015","479.50","465.75","486.50","465.75","43.71K","2.57%"
"Aug 07, 2015","467.50","470.25","473.75","466.75","28.82K","0.65%"
"Aug 06, 2015","464.50","468.25","472.25","464.00","50.40K","-1.85%"
"Aug 05, 2015","473.25","474.00","479.00","463.75","36.44K","0.00%"
"Aug 04, 2015","473.25","471.00","478.75","469.75","44.28K","-0.21%"
"Aug 03, 2015","474.25","481.75","484.25","468.00","44.91K","-2.97%"
"Jul 31, 2015","488.75","491.50","493.50","482.50","36.93K","-1.01%"
"Jul 30, 2015","493.75","489.25","498.25","488.75","40.88K","-0.40%"
"Jul 29, 2015","495.75","487.50","497.00","483.25","42.55K","0.05%"
"Jul 28, 2015","495.50","484.50","497.25","480.00","54.26K","1.07%"
"Jul 27, 2015","490.25","499.00","500.50","484.50","43.31K","-2.05%"
"Jul 24, 2015","500.50","506.50","507.50","497.25","33.07K","-2.01%"
"Jul 23, 2015","510.75","510.00","513.50","503.50","48.24K","-0.73%"
"Jul 22, 2015","514.50","512.25","515.25","508.50","42.47K","0.64%"
"Jul 21, 2015","511.25","507.25","516.50","506.25","41.80K","0.00%"
"Jul 20, 2015","511.25","510.25","515.00","506.75","39.76K","-0.10%"
"Jul 17, 2015","511.75","516.00","519.25","510.00","51.36K","-1.54%"
"Jul 16, 2015","519.75","519.00","522.50","515.00","61.37K","-0.72%"
"Jul 15, 2015","523.50","533.50","536.75","516.50","75.55K","-1.09%"
"Jul 14, 2015","529.25","532.50","536.75","522.75","84.12K","-1.40%"
"Jul 13, 2015","536.75","537.75","541.25","525.00","69.01K","0.00%"
"Jul 10, 2015","536.75","542.25","543.75","537.00","6.42K","0.00%"
"Jul 09, 2015","536.75","528.75","541.75","528.50","44.92K","2.38%"
"Jul 08, 2015","524.25","528.50","533.00","518.50","61.09K","1.21%"
"Jul 07, 2015","518.00","530.00","533.25","513.25","50.86K","-3.40%"
"Jul 06, 2015","536.25","553.25","565.00","523.50","47.62K","-3.38%"
"Jul 03, 2015","555.00","564.25","567.00","553.25","22.18K","-3.35%"
"Jul 02, 2015","574.25","569.00","576.75","563.50","38.40K","0.35%"
"Jul 01, 2015","572.25","575.50","578.25","564.25","33.58K","-0.26%"
"Jun 30, 2015","573.75","565.50","583.00","564.00","40.87K","1.64%"
"Jun 29, 2015","564.50","571.50","575.00","559.25","51.66K","-1.66%"
"Jun 26, 2015","574.00","574.00","577.75","568.25","29.29K","0.66%"
"Jun 25, 2015","570.25","576.75","580.75","569.25","44.15K","-1.85%"
"Jun 24, 2015","581.00","588.50","591.50","572.50","52.41K","-0.39%"
"Jun 23, 2015","583.25","573.75","589.25","572.00","70.75K","2.28%"
"Jun 22, 2015","570.25","571.25","578.75","566.25","50.19K","-0.13%"
"Jun 19, 2015","571.00","586.75","587.75","568.75","55.39K","-2.89%"
"Jun 18, 2015","588.00","585.00","592.25","582.00","53.31K","0.43%"
"Jun 17, 2015","585.50","579.25","595.75","574.25","73.73K","1.34%"
"Jun 16, 2015","577.75","575.00","580.75","573.50","53.52K","0.30%"
"Jun 15, 2015","576.00","584.75","584.75","571.75","61.44K","-1.58%"
"Jun 12, 2015","585.25","589.25","590.25","580.75","58.89K","-1.64%"
"Jun 11, 2015","595.00","596.50","600.00","589.75","6.74K","0.00%"
"Jun 10, 2015","595.00","592.75","601.75","590.50","50.14K","1.28%"
"Jun 09, 2015","587.50","572.00","592.75","571.25","41.78K","2.75%"
"Jun 08, 2015","571.75","572.25","575.75","569.00","39.54K","0.88%"
"Jun 05, 2015","566.75","566.75","576.75","560.50","34.02K","-0.04%"
"Jun 04, 2015","567.00","581.50","583.75","565.50","41.79K","-3.16%"
"Jun 03, 2015","585.50","597.00","598.50","580.00","47.87K","-1.76%"
"Jun 02, 2015","596.00","591.50","599.75","591.00","45.20K","1.06%"
"Jun 01, 2015","589.75","595.00","601.50","589.25","27.45K","-0.55%"
"May 29, 2015","593.00","576.75","601.75","575.25","51.49K","3.90%"
"May 28, 2015","570.75","570.75","576.50","565.25","52.27K","-0.95%"
"May 27, 2015","576.25","584.75","589.50","568.50","41.96K","-1.54%"
"May 26, 2015","585.25","602.25","602.25","582.00","36.89K","-3.42%"
"May 25, 2015","606.00","600.50","606.25","591.50","8.27K","1.08%"
